BioNavigator Version	6.3.67.0	PamGrid Version	
spotRow,spotCol,ID,Barcode,Row,Median_SigmBg
-1,-1,#REF,641129101,1,55.0
-1,-1,#REF,641129101,1,111.0
-1,-1,#REF,641129101,1,273.0
-1,-1,#REF,641129101,1,553.0
-1,-1,#REF,641129101,1,1096.0
-1,-1,#REF,641129101,2,55.0
-1,-1,#REF,641129101,2,109.0
-1,-1,#REF,641129101,2,274.0
-1,-1,#REF,641129101,2,547.0
-1,-1,#REF,641129101,2,1083.0
-1,-1,#REF,641129101,3,54.0
-1,-1,#REF,641129101,3,108.0
-1,-1,#REF,641129101,3,264.0
-1,-1,#REF,641129101,3,536.0
-1,-1,#REF,641129101,3,1062.0
-1,-1,#REF,641129101,4,53.0
-1,-1,#REF,641129101,4,109.0
-1,-1,#REF,641129101,4,277.0
-1,-1,#REF,641129101,4,547.0
-1,-1,#REF,641129101,4,1115.0
-3,-1,#REF,641129101,1,51.0
-3,-1,#REF,641129101,1,108.0
-3,-1,#REF,641129101,1,269.0
-3,-1,#REF,641129101,1,532.0
-3,-1,#REF,641129101,1,1051.0
-3,-1,#REF,641129101,2,53.0
-3,-1,#REF,641129101,2,103.0
-3,-1,#REF,641129101,2,251.0
-3,-1,#REF,641129101,2,515.0
-3,-1,#REF,641129101,2,1014.0
-3,-1,#REF,641129101,3,51.0
-3,-1,#REF,641129101,3,99.0
-3,-1,#REF,641129101,3,250.0
-3,-1,#REF,641129101,3,494.0
-3,-1,#REF,641129101,3,999.0
-3,-1,#REF,641129101,4,52.0
-3,-1,#REF,641129101,4,102.0
-3,-1,#REF,641129101,4,259.0
-3,-1,#REF,641129101,4,522.0
-3,-1,#REF,641129101,4,1033.0
-5,-1,#REF,641129101,1,54.0
-5,-1,#REF,641129101,1,106.0
-5,-1,#REF,641129101,1,264.0
-5,-1,#REF,641129101,1,525.0
-5,-1,#REF,641129101,1,1042.0
-5,-1,#REF,641129101,2,47.0
-5,-1,#REF,641129101,2,97.0
